"","Program","Year","Period","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Measure","Applications","Bearing Type","Metric","Domain","Certified","Size-Bracket","Code","Use","Value","CV (%)"
"1","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN",NA,"0.1 TO 0.9 ACRES",NA,"AREA GROWN","963","5.6"
"2","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN",NA,"1.0 TO 4.9 ACRES",NA,"AREA GROWN","3,195","5.9"
"3","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN",NA,"100 OR MORE ACRES",NA,"AREA GROWN","46,265","25.3"
"4","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN",NA,"15.0 TO 24.9 ACRES",NA,"AREA GROWN","2,514","20.0"
"5","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN",NA,"25.0 TO 49.9 ACRES",NA,"AREA GROWN","4,231","13.0"
"6","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN",NA,"5.0 TO 14.9 ACRES",NA,"AREA GROWN","3,396","8.6"
"7","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN",NA,"50.0 TO 99.9 ACRES",NA,"AREA GROWN","10,146","50.5"
"8","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","70,709","15.4"
"9","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN",NA,"0.1 TO 0.9 ACRES",NA,"AREA GROWN","1,199","6.2"
"10","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN",NA,"1.0 TO 4.9 ACRES",NA,"AREA GROWN","3,729","5.3"
"11","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN",NA,"100 OR MORE ACRES",NA,"AREA GROWN","46,931","25.0"
"12","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN",NA,"15.0 TO 24.9 ACRES",NA,"AREA GROWN","2,758","19.1"
