"","Program","Year","Period","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Measure","Applications","Bearing Type","Metric","Domain","Chemical Name","Code","Use","Value","CV (%)"
"1","SURVEY",2024,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRICE RECEIVED-ADJUSTED BASE","FRESH MARKET",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","10.9",NA
"2","SURVEY",2024,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRICE RECEIVED-ADJUSTED BASE","PROCESSING",NA,"MEASURED IN $ / TON","TOTAL",NA,NA,"NOT SPECIFIED","4.04",NA
"3","SURVEY",2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRICE RECEIVED",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","123",NA
"4","SURVEY",2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRICE RECEIVED","FRESH MARKET",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","142",NA
"5","SURVEY",2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRICE RECEIVED","PROCESSING",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","43.8",NA
"6","SURVEY",2023,"MARKETING YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"PRICE RECEIVED",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","121",NA
"7","SURVEY",2023,"MARKETING YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"PRICE RECEIVED","FRESH MARKET",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"8","SURVEY",2023,"MARKETING YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"PRICE RECEIVED","PROCESSING",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"9","SURVEY",2023,"MARKETING YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"PRICE RECEIVED",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","147",NA
"10","SURVEY",2023,"MARKETING YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"PRICE RECEIVED","FRESH MARKET",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"11","SURVEY",2023,"MARKETING YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"PRICE RECEIVED","PROCESSING",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"12","SURVEY",2023,"MARKETING YEAR","STATE","OTHER STATES",NA,NA,NA,NA,NA,"PRICE RECEIVED","FRESH MARKET",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","142",NA
"13","SURVEY",2023,"MARKETING YEAR","STATE","OTHER STATES",NA,NA,NA,NA,NA,"PRICE RECEIVED","PROCESSING",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","43.8",NA
"14","SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES HARVESTED",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","56,800",NA
"15","SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES PLANTED",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","57,300",NA
"16","SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRODUCTION",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","3,398,943,000",NA
"17","SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRODUCTION",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","27,560,000",NA
"18","SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRODUCTION",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","1,378,000",NA
